Brand,Store Name,Address,City,State,Zip,Phone,Products
"Ukrop's, White House Rolls, Mrs. Marshall's",GIANT/MARTINS,10 COLONIAL SQUARE,COLONIAL HEIGHTS,VA,23834,333-333-3333,Full Line
"Ukrop's, White House Rolls, Mrs. Marshall's",GIANT/MARTINS,10001 HULL STREET ROAD,RICHMOND,VA,23236,333-333-3334,Full Line
"Ukrop's, White House Rolls, Mrs. Marshall's",GIANT/MARTINS,1015 RICHMOND ROAD,STAUNTON,VA,24401,333-333-3335,Full Line
"Ukrop's, White House Rolls, Mrs. Marshall's",GIANT/MARTINS,10150 BROOK RD,GLEN ALLEN,VA,23060,333-333-3336,Full Line
"Ukrop's, White House Rolls, Mrs. Marshall's",GIANT/MARTINS,10250 STAPLES MILL RD,GLEN ALLEN,VA,23060,333-333-3337,Full Line
"Ukrop's, White House Rolls, Mrs. Marshall's",GIANT/MARTINS,11609 MIDLOTHIAN PIKE,MIDLOTHIAN,VA,23113,333-333-3338,Full Line
"Ukrop's, White House Rolls, Mrs. Marshall's",GIANT/MARTINS,12601 JEFFERSON DAVIS HWY,CHESTER,VA,23831,333-333-3339,Full Line
"Ukrop's, White House Rolls, Mrs. Marshall's",GIANT/MARTINS,13700 HULL ST RD,MIDLOTHIAN,VA,23112,333-333-3340,Full Line
"Ukrop's, White House Rolls, Mrs. Marshall's",GIANT/MARTINS,153171 MONTANUS DR,CULPEPPER,VA,22701,333-333-3341,Full Line
